title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,dir_last3_avg_adj,dir_max_adj,dir_lifetime_trunc_avg_adj,dir_fallback_flag,prod_last3_avg_adj,prod_max_adj,prod_lifetime_trunc_avg_adj,prod_fallback_flag,cast_last3_avg_adj,cast_max_adj,cast_lifetime_trunc_avg_adj,cast_fallback_flag,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
Nosferatu,426063,tt5040012,12/25/2024,12,2,en,US,50000000,50000000,133,Horror,Horror|Fantasy,R,1,0,1533611,27700524.62,36787435.67,27700524.62,1,23777928.51,54154255.8,25352840.12,1,36574152.49,277434944.6,73699782.59,1,138781,Robert Eggers,58207,Jeff Robinov,1459885|3292|137905,Lily-Rose Depp|Nicholas Hoult|Bill Skarsgård,0,0,0,0,Focus Features,2992,0.916778028,86156280,181764515,48120015,95608235,11552825,2911,2,7601650,2911,3,7275315,2992,3,7840695,2992,3,6536550,2992,3,4393985,2992,5,2918995,2992,5,4962005,2992,4,3118545,2992,4,4275565,3132,3,5600935,3132,3,3216145,3132,3,1307555,3132,3,1837135,3132,3,1362365,3132,2,1207080,3132,2,1926805,3082,4,3033575,3082,5,1935495,3082,5,727250,3082,3,1031735,3082,4,778990,3082,3,659365,3082,3,1196620,2545,6,1676575,2545,7,1276635,2545,7,750875,2545,9,466140,2545,8
A Complete Unknown,661539,tt11563598,12/25/2024,12,2,en,US,65000000,65000000,140,Drama,Drama|Music,R,1,0,558822,205063579.3,290384287.9,135776773.1,1,172006427,282144358,82683189.63,1,90868907.44,163320746.4,52219452.06,1,366,James Mangold,1190668,Timothée Chalamet,1190668|819|18050,Timothée Chalamet|Edward Norton|Elle Fanning,0,0,0,0,Veritas Entertainment Group,2835,1.084008219,65506932,140508652,28501840,75001720,7201242,2835,4,4372801,2835,6,3941204,2835,6,4167263,2835,6,3547086,2835,6,2450133,2835,6,2822111,2835,6,3212499,2835,6,1915328,2835,6,2669875,2835,6,3525683,2835,6,1987490,2835,6,804833,2835,5,1384029,2835,4,991832,2835,4,854273,2835,4,1344406,2810,6,2313389,2810,7,1463442,2810,7,542578,2810,5,965007,2810,5,691319,2810,4,611178,2810,4,1108097,2500,8,1513530,2500,9,1125990,2500,9,787073,2500,8,575265,2500,7
Babygirl,1097549,tt30057084,12/25/2024,12,2,en,US,20000000,20000000,115,Drama,Drama|Romance,R,1,0,489554,12300697.62,12300697.62,12300697.62,1,9030301.785,12300697.62,6827626.911,1,67118071.51,253296667.1,79609768.67,1,39847,Halina Reijn,1396479,David Hinojosa,2227|1716493|3131,Nicole Kidman|Harris Dickinson|Antonio Banderas,0,0,0,0,A24,2115,0.78444293,36519667,64716399,9186495,28196732,1528620,2094,8,1319220,2094,7,1414935,2115,7,1609515,2115,7,1465695,2115,7,1068075,2115,7,780435,2115,7,1423395,2115,7,1010610,2115,7,1473684,2164,7,1858876,2164,7,1133914,2164,7,544279,2164,7,821861,2164,7,624614,2164,6,562153,2164,7,865452,1887,9,1315487,1887,8,881376,1887,8,352550,1887,8,557029,1887,8,406031,1887,7,324825,1887,8,602406,1460,11,746983,1460,10,597587,1460,11,352196,1460,11,258572,1460,10
The Brutalist,549509,tt8999762,12/20/2024,12,4,en,US,9600000,9600000,215,Drama,Drama|History,R,1,1.5,468818,5855605.091,10069905.2,4760127.097,1,0,0,0,0,12925708.88,318620739.8,57956524.26,1,55493,Brady Corbet,3155251,Nick Gordon,3490|72855|529,Adrien Brody|Felicity Jones|Guy Pearce,0,0,0,0,Brookstreet Pictures,6,0.611433669,34169299,50448428,484291,16279129,128058,6,11,74991,6,13,63742,6,13,48974,6,12,38850,6,13,74965,6,15,54711,6,15,62984,7,41,73773,7,15,74407,7,14,63427,7,14,48800,7,14,73858,7,14,45594,7,13,79135,8,14,91781,8,14,73245,8,14,44474,8,13,45360,8,13,48983,8,13,44085,8,13,424406,68,12,542619,68,10,420551,68,9,129584,68,10,149086,68,11,245677,68,9,198968,68,9
Sonic the Hedgehog 3,939243,tt18259086,12/19/2024,12,3,en,US,122000000,122000000,110,Action,Action|Science Fiction|Comedy|Family,PG,1,0,970566,193087819.8,205115009.3,193087819.8,1,128447318.1,468501384.3,141210344.8,1,129101411.1,314715331.5,122611865.5,1,93364,Jeff Fowler,11874,Neal H. Moritz,206|222121|6384,Jim Carrey|Ben Schwartz|Keanu Reeves,1,6.5,205115009.3,2.7,Paramount Pictures,3769,0.920270245,256047504,492162604,99553692,236115100,25449555,3761,1,19320946,3761,1,15331645,3761,1,10049917,3761,1,7499193,3761,1,10351772,3769,3,11550664,3769,2,12606485,3769,1,13501757,3769,1,10902264,3769,2,7720529,3769,1,7274167,3769,1,8945742,3769,2,5803240,3769,2,6901886,3746,2,8954488,3746,2,5502392,3746,2,1749098,3746,2,1952661,3746,2,1113232,3746,3,1033563,3746,3,2202988,3582,3,5431147,3582,3,3720477,3582,2,631687,3582,4,1150736,3582,3,659569,3582,5,586062,3582,5
Mufasa: The Lion King,762509,tt13186482,12/18/2024,12,2,en,US,200000000,200000000,118,Adventure,Adventure|Family|Animation,PG,1,0,729398,27595214.01,36506209.63,27595214.01,1,1782561.69,1782561.69,1782561.69,1,46370890.96,81534122.53,36629159.01,1,92784,Barry Jenkins,2411897,Mark Ceryak,1763709|1344361|1074676,"Aaron Pierre|Kelvin Harrison, Jr.|Tiffany Boone",1,6.8,668736449.1,5.4,Walt Disney Pictures,4100,1.591800874,468064063,722631756,76383537,254567693,13340381,4100,2,11850488,4100,2,10218496,4100,2,7083956,4100,2,7160624,4100,2,14722175,4100,1,12007417,4100,1,12149655,4100,2,13327650,4100,2,11326817,4100,1,7689599,4100,2,7266687,4100,2,10372135,4100,1,6248851,4100,1,7597526,3925,1,9920629,3925,1,5943478,3925,1,1976023,3925,1,2515137,3925,1,1469902,3925,1,1389853,3925,1,2887705,3620,2,6664944,3620,1,4668878,3620,1,925798,3620,2,1725436,3620,1,970516,3620,2,877582,3620,1
Wallace & Gromit: Vengeance Most Fowl,929204,tt17163970,12/18/2024,12,2,en,GB,0,0,79,Family,Family|Comedy|Adventure|Animation,PG,1,0,162428,98767490.53,195576860.3,98767490.53,1,130892449.5,171415613.1,130892449.5,1,46041320.98,60246190.62,46041320.98,0,7314,Nick Park,1119833,Claire Jennings,127155|7318|2555400,Ben Whitehead|Peter Kay|Lauren Patel,0,0,0,0,Aardman,0,0,0,191452,0,191452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kraven the Hunter,539972,tt8790086,12/11/2024,12,2,en,US,130000000,130000000,127,Action,Action|Adventure|Thriller,R,1,1,706943,7861162.746,8455685.673,7861162.746,0,93216398.94,140267296.2,93216398.94,0,62420992,282552668.1,65029830.69,1,556172,J.C. Chandor,61107,David B. Householter,27428|1437491|2099497,Aaron Taylor-Johnson|Ariana DeBose|Fred Hechinger,0,0,0,0,Columbia Pictures,3211,1.625184004,37050223,62076533,14334701,25026310,4801608,3211,3,3749317,3211,3,2450184,3211,3,820297,3211,4,1255916,3211,3,713630,3211,5,543749,3211,4,865230,3211,7,1181485,3211,7,1005673,3211,7,590347,3211,7,501621,3211,7,683942,2437,11,524878,2437,11,516964,2437,14,628781,2437,11,481503,2437,11,326856,2437,11,273493,2437,11,455235,2437,11,276954,2437,11,338709,1862,12,460616,1862,11,238033,1862,11,100957,1862,11,140069,1862,11,101140,1862,11,66456,1862,11
Dirty Angels,1043905,tt23872640,12/11/2024,12,2,en,US,35954590,35954590,104,Action,Action|Drama|Thriller|War,R,1,0,38392,20218932.52,261252243.3,86779714.19,1,7534376.761,84915265.31,27079992.68,1,113153208,231502521.8,101174257.3,1,10702,Martin Campbell,1431293,Yariv Lerner,10912|2408703|1246972,Eva Green|Maria Bakalova|Ruby Rose,0,0,0,0,Millennium Media,0,0,0,67877,0,67877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Better Man,799766,tt14260836,12/6/2024,12,4,en,AU,110000000,110000000,135,Music,Music|Drama,R,1,0,179298,223733000.1,223733000.1,223733000.1,1,0,0,0,0,67585259.04,73585156.83,67585259.04,1,1276373,Michael Gracey,1319499,Paul Currie,80535|1499833|28485,Robbie Williams|Jonno Davies|Steve Pemberton,0,0,0,0,RocketScience,6,0.836746737,20565503,22549151,45711,1983648,11609,6,23,4963,6,29,5034,6,61,6612,6,31,6613,6,31,6189,6,25,4691,6,27,10303,6,24,5987,6,25,7908,6,30,10746,6,29,7440,6,28,4208,6,25,4683,6,26,3196,6,27,3005,6,27,563567,1291,11,296802,1291,14,203532,1291,14,86738,1291,13,136824,1291,13,97834,1291,12,62156,1291,13,71692,1290,19,104343,1290,20,85653,1290,19,59543,1290,19,45036,1290,17
