,title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7
0,Leatherface: The Texas Chainsaw Massacre III,25018,tt0099994,1990-01-12,1,4,en,US,2000000.0,4964039.785768936,81,Horror,Horror,Unrated,1.0,0.0,,31621.0,Jeff Burr,10809.0,Robert Engelman,151363|15070|99600,Kate Hodge|Ken Foree|R.A. Mihailoff,1,5.6,8025872.0,3.4,Nicolas Entertainment,,,,5765562.0,,5765562.0,,,,,,,,,,,,,,,,,,,,,
1,Internal Affairs,11060,tt0099850,1990-01-12,1,4,en,CA,15000000.0,37230298.39326703,115,Crime,Crime|Drama,Unrated,1.0,0.0,,6111.0,Mike Figgis,49284.0,Frank Mancuso Jr.,1205|1271|12133,Richard Gere|Andy Garcia|Laurie Metcalf,0,,,,Paramount Pictures,,,,27734391.0,,27734391.0,,,,,,,,,,,,,,,,,,,,,
2,Brain Dead,5898,tt0099173,1990-01-16,1,1,en,US,2000000.0,4964039.785768936,85,Thriller,Thriller|Horror|Science Fiction,Unrated,1.0,1.0,,46442.0,Adam Simon,102428.0,Julie Corman,8984|2053|4971,Bill Pullman|Bill Paxton|Bud Cort,0,,,,New Horizons,,,,1627955.0,,1627955.0,,,,,,,,,,,,,,,,,,,,,
3,Tremors,9362,tt0100814,1990-01-19,1,4,en,US,11000000.0,27302218.82172916,96,Horror,Horror|Action|Science Fiction|Comedy,Unrated,1.0,0.0,,33485.0,Ron Underwood,26479.0,S.S. Wilson,4724|10430|57453,Kevin Bacon|Fred Ward|Finn Carter,0,,,,No Frills Film,,,1000.0,16671216.0,,16667084.0,,,,,,,,,,,,,,,,,,,,,
4,House Party,16094,tt0099800,1990-01-20,1,5,en,US,2500000.0,6205049.732211171,105,Comedy,Comedy,Unrated,1.0,0.0,,68215.0,Reginald Hudlin,1249962.0,Warrington Hudlin,79320|79321|10863,Christopher Reid|Christopher Martin|Paul Anthony,0,,,,New Line Cinema,,,,26385627.0,,26385627.0,,,,,,,,,,,,,,,,,,,,,
5,Treasure Island,26612,tt0100813,1990-01-22,1,0,en,US,,,131,Adventure,Adventure|Family|TV Movie,Unrated,1.0,0.0,,66076.0,Fraser Clarke Heston,,Unknown,10017|3894|936,Charlton Heston|Christian Bale|Oliver Reed,0,,,,Agamemnon Films,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Two Evil Eyes,29514,tt0100827,1990-01-25,1,3,en,IT,9000000.0,22338179.035960216,120,Horror,Horror,Unrated,1.0,0.0,,14999.0,George A. Romero,104043.0,Achille Manzotti,11782|1037|104045,Adrienne Barbeau|Harvey Keitel|Ramy Zada,0,,,,ADC Films,,,,349618.0,,349618.0,,,,,,,,,,,,,,,,,,,,,
7,Dark Angel,19384,tt0099817,1990-01-26,1,4,en,US,7000000.0,17374139.25019128,91,Action,Action|Thriller|Science Fiction|Crime|Horror,Unrated,1.0,0.0,,63709.0,Craig R. Baxley,194090.0,Jeff Young,16644|84690|12831,Dolph Lundgren|Brian Benben|Betsy Brantley,0,,,,Vision International,,,,4348368.0,,4348368.0,,,,,,,,,,,,,,,,,,,,,
8,Heart Condition,41817,tt0099750,1990-02-02,2,4,en,US,10000000.0,24820198.928844683,100,Comedy,Comedy|Crime|Drama|Fantasy,Unrated,1.0,0.0,,1214034.0,James D. Parriott,29.0,Steve Tisch,382|5292|43476,Bob Hoskins|Denzel Washington|Chloe Webb,0,,,,New Line Cinema,,,,4134992.0,,4134992.0,,,,,,,,,,,,,,,,,,,,,
9,Puppet Master II,26954,tt0100438,1990-02-07,2,2,en,US,780000.0,1935975.5164498847,88,Horror,Horror|Mystery|Science Fiction,Unrated,1.0,0.0,,187067.0,David Allen,97859.0,John Schouweiler,554043|43753|157968,Elizabeth Maclellan|Collin Bernsen|Steve Welles,1,5.5,,0.3,Full Moon Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hard to Kill,9569,tt0099739,1990-02-09,2,4,en,US,10000000.0,24820198.928844683,95,Action,Action|Drama|Crime|Thriller,Unrated,1.0,0.0,,58040.0,Bruce Malmuth,11000.0,Bill Todman Jr.,23880|46948|6573,Steven Seagal|Kelly LeBrock|William Sadler,0,,,,Warner Bros. Pictures,,,,47410827.0,,47410827.0,,,,,,,,,,,,,,,,,,,,,
11,Stanley & Iris,36094,tt0100680,1990-02-09,2,4,en,US,23000000.0,57086457.53634277,104,Drama,Drama|Romance,Unrated,1.0,0.0,,18854.0,Martin Ritt,67065.0,Arlene Sellers,6352|380|12967,Jane Fonda|Robert De Niro|Swoosie Kurtz,0,,,,Star Partners II,,,,5820015.0,,5820015.0,,,,,,,,,,,,,,,,,,,,,
12,Loose Cannons,24558,tt0100053,1990-02-09,2,4,en,US,15000000.0,37230298.39326703,94,Comedy,Comedy|Crime|Action|Thriller,Unrated,1.0,0.0,,12698.0,Bob Clark,28715.0,Aaron Spelling,193|707|6844,Gene Hackman|Dan Aykroyd|Dom DeLuise,0,,,,TriStar Pictures,,,,5585154.0,,5585154.0,,,,,,,,,,,,,,,,,,,,,
13,The Handmaid's Tale,20815,tt0099731,1990-02-15,2,3,en,DE,13000000.0,32266258.607498087,108,Drama,Drama|Science Fiction,Unrated,1.0,0.0,,10249.0,Volker Schlöndorff,27405.0,Daniel Wilson,20162|6450|18992,Natasha Richardson|Faye Dunaway|Aidan Quinn,0,,,,Cinecom Entertainment Group,,,,4960385.0,,4960385.0,,,,,,,,,,,,,,,,,,,,,
14,Moon 44,2927,tt0097910,1990-02-15,2,3,en,DE,,,98,Science Fiction,Science Fiction,Unrated,1.0,0.0,,6046.0,Roland Emmerich,6046.0,Roland Emmerich,60650|28950|8676,Michael Paré|Lisa Eichhorn|Dean Devlin,0,,,,Overseas FilmGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Revenge,14249,tt0100485,1990-02-16,2,4,en,MX,,,123,Thriller,Thriller|Romance|Drama,Unrated,1.0,1.0,,893.0,Tony Scott,20098.0,Stanley Rubin,1269|5401|289,Kevin Costner|Anthony Quinn|Madeleine Stowe,0,,,,New World Pictures,,,,15645616.0,,15645616.0,,,,,,,,,,,,,,,,,,,,,
16,Nightbreed,20481,tt0100260,1990-02-16,2,4,en,US,11000000.0,27302218.82172916,121,Horror,Horror|Fantasy|Action,Unrated,1.0,0.0,,31211.0,Clive Barker,6202.0,Gabriella Martinelli,4138|140234|224,Craig Sheffer|Anne Bobby|David Cronenberg,0,,,,Seraphim Films,,,607341.0,9469695.0,,8862354.0,,,,,,,,,,,,,,,,,,,,,
17,The Death of the Incredible Hulk,19593,tt0099387,1990-02-18,2,6,en,US,,,95,Action,Action|Drama|Science Fiction|TV Movie,Unrated,1.0,0.0,,19138.0,Bill Bixby,2041695.0,Hugh Spencer-Phillips,19138|19137|154716,Bill Bixby|Lou Ferrigno|Elizabeth Gracen,1,5.8,,0.8,New World Television,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Too Young to Die,10917,tt0100797,1990-02-26,2,0,en,US,,,92,Crime,Crime|Drama|TV Movie,Unrated,1.0,0.0,,27676.0,Robert Markowitz,69047.0,Susan Weber-Gold,3196|287|56695,Juliette Lewis|Brad Pitt|Michael Tucker,0,,,,Von Zerneck Sertner Films,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,The Hunt for Red October,1669,tt0099810,1990-03-02,3,4,en,US,30000000.0,74460596.78653406,135,Action,Action|Adventure|Thriller,Unrated,1.0,0.0,,1090.0,John McTiernan,4611.0,Mace Neufeld,738|7447|349,Sean Connery|Alec Baldwin|Scott Glenn,0,,,,Paramount Pictures,,,78500000.0,200512643.0,,122012643.0,,,,,,,,,,,,,,,,,,,,,
20,Basket Case 2,27815,tt0099108,1990-03-02,3,4,en,US,2500000.0,6205049.732211171,90,Horror,Horror|Comedy,Unrated,1.0,1.0,,86250.0,Frank Henenlotter,99031.0,Edgar Ievins,99025|37368|99034,Kevin Van Hentenryck|Annie Ross|Heather Rattray,1,6.2,,7.9,Shapiro-Glickenhaus Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bad Influence,24249,tt0099091,1990-03-09,3,4,en,US,7000000.0,17374139.25019128,99,Thriller,Thriller,Unrated,1.0,0.0,,323.0,Curtis Hanson,29.0,Steve Tisch,13548|2879|68848,James Spader|Rob Lowe|Lisa Zane,0,,,,Epic Productions,,,,12626043.0,,12626043.0,,,,,,,,,,,,,,,,,,,,,
22,Joe Versus the Volcano,2565,tt0099892,1990-03-09,3,4,en,US,25000000.0,62050497.32211171,102,Comedy,Comedy|Romance,Unrated,1.0,0.0,,26095.0,John Patrick Shanley,20622.0,Teri Schwartz,31|5344|2177,Tom Hanks|Meg Ryan|Lloyd Bridges,0,,,,Amblin Entertainment,,,,39404261.0,,39404261.0,,,,,,,,,,,,,,,,,,,,,
23,Lord of the Flies,10847,tt0100054,1990-03-16,3,4,en,US,,,91,Adventure,Adventure|Drama|Thriller,Unrated,1.0,0.0,,61019.0,Harry Hook,18754.0,Lewis M. Allen,9296|61029|61030,Balthazar Getty|Chris Furrh|Danuel Pipoly,0,,,,Castle Rock Entertainment,,,,13985225.0,,13985225.0,,,,,,,,,,,,,,,,,,,,,
24,Nuns on the Run,11131,tt0100280,1990-03-16,3,4,en,GB,10959015.0,27200493.236419283,89,Comedy,Comedy|Crime,Unrated,1.0,0.0,,21217.0,Jonathan Lynn,61865.0,Denis O'Brien,10713|1923|26071,Eric Idle|Robbie Coltrane|Camille Coduri,0,,,,Handmade Films,,,,10959015.0,,10959015.0,,,,,,,,,,,,,,,,,,,,,
25,Blue Steel,9491,tt0099160,1990-03-16,3,4,en,US,,,102,Thriller,Thriller,Unrated,1.0,0.0,,14392.0,Kathryn Bigelow,32035.0,Edward R. Pressman,8944|21399|6574,Jamie Lee Curtis|Ron Silver|Clancy Brown,0,,,,Lightning Pictures,,,,8217997.0,,8217997.0,,,,,,,,,,,,,,,,,,,,,
26,The Ambulance,79509,tt0099026,1990-03-22,3,3,en,US,4000000.0,9928079.571537873,96,Action,Action|Thriller|Comedy,Unrated,1.0,1.0,,19266.0,Larry Cohen,66089.0,Moctesuma Esparza,21315|45445|15152,Eric Roberts|Megan Gallagher|James Earl Jones,0,,,,Epic Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pretty Woman,114,tt0100405,1990-03-23,3,4,en,US,14000000.0,34748278.50038256,120,Romance,Romance|Comedy,R,1.0,0.0,,1201.0,Garry Marshall,376.0,Arnon Milchan,1205|1204|1208,Richard Gere|Julia Roberts|Ralph Bellamy,0,,,,Touchstone Pictures,,,285000000.0,463406268.0,,178406268.0,,,,,,,,,,,,,,,,,,,,,
28,A Shock to the System,20876,tt0100602,1990-03-23,3,4,en,US,,,91,Crime,Crime|Comedy,Unrated,1.0,1.0,,110496.0,Jan Egleson,57465.0,Patrick McCormick,3895|4513|20899,Michael Caine|Elizabeth McGovern|Peter Riegert,0,,,,Brigand Films,,,,3417056.0,,3417056.0,,,,,,,,,,,,,,,,,,,,,
29,Teenage Mutant Ninja Turtles,1498,tt0100758,1990-03-30,3,4,en,US,13500000.0,33507268.55394032,93,Science Fiction,Science Fiction|Action|Adventure|Comedy|Family,Unrated,1.0,1.0,,18308.0,Steve Barron,1122495.0,Kim Dawson,16060|6181|3034,Brian Tochi|Josh Pais|Corey Feldman,0,,,,Orange Sky Golden Harvest,,,66700000.0,202084756.0,,135384756.0,,,,,,,,,,,,,,,,,,,,,
30,Dances with Wolves,581,tt0099348,1990-03-30,3,4,en,US,22000000.0,54604437.64345831,181,Adventure,Adventure|Drama|Western,Unrated,1.0,0.0,,1269.0,Kevin Costner,7847.0,Jim Wilson,1269|1581|6804,Kevin Costner|Mary McDonnell|Graham Greene,0,,,,Tig Productions,,,240000000.0,424208848.0,,184208848.0,,,,,,,,,,,,,,,,,,,,,
31,Class of 1999,23535,tt0099277,1990-04-01,4,6,en,US,5200000.0,12906503.442999234,99,Science Fiction,Science Fiction|Action,Unrated,1.0,0.0,,67753.0,Mark L. Lester,67753.0,Mark L. Lester,3039|64062|56890,Bradley Gregg|Traci Lind|Malcolm McDowell,1,6.5,,7.6,Lightning Pictures,,,,2459895.0,,2459895.0,,,,,,,,,,,,,,,,,,,,,
32,Catchfire,32924,tt0096875,1990-04-03,4,1,en,US,,,116,Drama,Drama|Action|Thriller|Romance,R,1.0,0.0,,2778.0,Dennis Hopper,65557.0,Dan Paulson,2778|1038|923,Dennis Hopper|Jodie Foster|Dean Stockwell,0,,,,Vestron Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,
