title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,production_budget_raw,production_budget_adj,runtime,primary_genre,mpaa_rating,format_premium,spoiler_risk,dir_last3,dir_max,dir_lifetime,prod_last3,prod_max,prod_lifetime,cast_last3,cast_max,cast_lifetime,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,franchise_hunger,distributor_raw,opening_theaters,calendar_ratio,target_dom_lifetime,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
How the Grinch Stole Christmas,8871,tt0170016,2000-11-17,11,4,123000000,224671428.5714286,104,Family,PG-13,1.0,0.0,233324503.66666666,355237933,119577588.25,233324503.66666666,355237933,119577588.25,31472202.11111111,240494469.0,95638963.22727273,6159.0,Ron Howard,6159.0,Ron Howard,206|20480|4175,Jim Carrey|Taylor Momsen|Jeffrey Tambor,0,0.0,0.0,Universal Pictures,3134,0.40705011480088077,260530905,260530905,15635225,3127,1,22717655,3127,1,16729450,3127,1,3611685,3127,1,4878120,3127,1,9370660,3134,1,12034560,3134,1,19744225,3134,1,19822550,3134,1,12551670,3134,1,2178130,3134,1,2037100,3134,1,1770710,3134,1,1817720,3134,1,6621180,3138,1,12159750,3138,1,8315700,3138,1,1192440,3138,1,1365030,3138,1,1190895,3138,1,1255200,3138,1,4359340,3182,2,8702770,3182,1,5584410,3182,1,859140,3182,2,1193250,3182,2,985555,3182,1,1144815,3182,1
Scary Movie,4247,tt0175142,2000-07-07,7,4,19000000,34705342.624854825,88,Comedy,PG-13,1.0,0.0,21196209.0,29392418,21196209.0,15795420.333333334,30112050,19374577.75,14025802.88888889,26836775.666666668,14571375.75,35689.0,Keenen Ivory Wayans,35696.0,Eric L. Gold,1772|17866|9562,Anna Faris|Jon Abrahams|Marlon Wayans,1,0.0,0.0,Brad Grey Pictures,2912,0.3786150435686117,146886910,146886910,15037000,2912,1,15220000,2912,1,12090000,2912,1,6102126,2912,1,5818482,2912,1,4850235,2912,1,4606772,2912,1,8270000,3152,2,10171000,3152,2,7755000,3152,2,3290245,3152,2,3396645,3152,2,2818269,3152,2,2671321,3152,2,4820000,3301,4,5958000,3301,4,4346000,3301,3,1979071,3301,4,2007109,3301,3,1680637,3301,4,1571119,3301,3,2513000,3256,4,3180000,3256,4,2616000,3256,4,1110408,3256,4,1243306,3256,4,968784,3256,4,967357,3256,4
Gladiator,98,tt0172495,2000-05-04,5,3,103000000,188139488.96631825,155,Action,PG-13,1.0,0.0,21886851.666666668,134212055,46407610.666666664,215914353.5,321365567,215914353.5,49242560.666666664,135171590.0,44008809.541666664,578.0,Ridley Scott,930.0,Branko Lustig,934|73421|935,Russell Crowe|Joaquin Phoenix|Connie Nielsen,1,0.0,0.0,Universal Pictures,2938,0.589977894635128,187705427,187705427,11135359,2938,1,13615219,2938,1,10068439,2938,1,3751311,2938,1,3867743,2938,1,3405736,2938,1,3172529,2938,1,7171904,2943,1,10503641,2943,1,6969584,2943,1,2500226,2943,1,2696453,2943,1,2276159,2943,1,2256489,2943,1,5550614,3041,1,8322597,3041,1,5876062,3041,1,2225397,3041,1,1902458,3041,1,1326097,3041,2,1337869,3041,2,3092650,3188,3,5245182,3188,3,5092546,3188,3,3634125,3188,3,1280718,3188,3,1160515,3188,2,1143947,3188,3
The Emperor's New Groove,11688,tt0120917,2000-12-15,12,4,100000000,182659698.0255517,78,Adventure,PG-13,1.0,0.0,3600000.0,3600000,3600000.0,0.0,0,0.0,55615745.888888896,115148042.33333333,40718409.324074075,61411.0,Mark Dindal,61417.0,Randy Fullmer,60950|1230|70243,David Spade|John Goodman|Eartha Kitt,1,0.0,0.0,Walt Disney Feature Animation,2887,0.3976950518378066,9658847,9658847,1625000,2887,6,1872563,2887,6,2814336,2887,5,3346948,2887,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memento,77,tt0209144,2000-10-11,10,2,9000000,16439372.822299654,113,Mystery,PG-13,1.0,1.0,0.0,0,0.0,114983137.66666667,312016928,103165290.25,230106955.7777778,351083902.0,209245028.79761907,525.0,Christopher Nolan,550.0,Jennifer Todd,529|530|532,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,0,0.0,0.0,Newmarket Films,175,0.9552506100693553,5452000,5452000,86019,123,17,97784,123,17,104051,123,19,107921,123,19,99468,175,16,107830,175,16,105038,175,16,99323,175,16,103753,272,11,114414,272,14,110552,272,12,97014,272,13,111076,326,13,121640,326,12,112262,326,12,104300,326,12,120041,411,9,136184,411,10,119802,411,9,125073,411,8,142223,446,7,155139,446,8,137230,446,8,145061,445,8,167294,484,9,160851,484,9,153879,484,9,140793,484,9
The Patriot,2024,tt0187393,2000-06-28,6,2,110000000,200925667.82810688,165,Drama,PG-13,1.0,0.0,464327482.3333333,817400891,371995586.25,464327482.3333333,817400891,464327482.3333333,126531046.3888889,240082411.0,101354612.45555556,6046.0,Roland Emmerich,8676.0,Dean Devlin,2461|1810|20810,Mel Gibson|Heath Ledger|Joely Richardson,0,0.0,0.0,Columbia Pictures,3061,0.740719344042838,108589804,108589804,5015267,3061,1,4307385,3061,1,6860000,3061,2,8560000,3061,2,6990000,3061,2,6902166,3061,2,5907876,3061,2,2813617,3061,2,2677185,3061,2,4363000,3061,3,6321000,3061,3,4736000,3061,3,1836833,3061,3,1807455,3061,3,1511341,3061,4,1538372,3061,4,2973000,3061,5,4506000,3061,4,3134000,3061,4,1088436,3061,5,1232385,3061,5,1067634,3061,5,1008587,3061,5,1796000,2751,8,2677000,2751,7,1767000,2751,7,812104,2751,8,890625,2751,8
Snatch,107,tt0208092,2000-09-01,9,4,100000000,182659698.0255517,103,Crime,PG-13,1.0,0.0,28356188.0,28356188,28356188.0,28356188.0,28356188,28356188.0,17210140.0,20109812.333333332,15437287.333333334,956.0,Guy Ritchie,957.0,Matthew Vaughn,976|1116|1115,Jason Statham|Alan Ford|Stephen Graham,0,0.0,0.0,SKA Films,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Family Man,5994,tt0218967,2000-12-12,12,1,60000000,109595818.81533103,125,Comedy,PG-13,1.0,0.0,146564337.5,244721064,146564337.5,21128152.0,89325780,24210399.85714286,119346919.22222221,269116917.6666667,88301959.98181818,11091.0,Brett Ratner,47054.0,Howard Rosenman,2963|4939|1896,Nicolas Cage|Téa Leoni|Don Cheadle,0,0.0,0.0,Beacon Pictures,2388,0.8569009372555003,75440065,75440065,3999900,2388,4,4608840,2388,4,1946220,2388,4,4549095,2388,3,4321325,2388,4,3450660,2388,4,3522300,2388,4,4644360,2394,4,4764060,2394,4,3010330,2394,4,3974040,2394,4,1687770,2394,3,1137150,2394,3,1161090,2394,3,2711250,2410,4,4181355,2410,4,2229250,2410,4,566350,2410,4,650695,2410,4,566350,2410,4,578425,2410,4,1574445,2441,7,2526435,2441,7,1611060,2441,7,890965,2441,7,366150,2441,6,305125,2441,6,329535,2441,6
Almost Famous,786,tt0181875,2000-09-15,9,4,60000000,109595818.81533103,124,Drama,PG-13,1.0,0.0,104036529.0,273600000,104036529.0,198543029.66666666,494471524,229501166.6,13021369.666666666,209070344.33333334,56510523.79545454,11649.0,Cameron Crowe,9987.0,Ian Bryce,8289|3910|11661,Billy Crudup|Frances McDormand|Kate Hudson,0,0.0,0.0,DreamWorks Pictures,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Women Want,3981,tt0207201,2000-12-15,12,4,70000000,127861788.6178862,127,Comedy,PG-13,1.0,0.0,92108518.0,92108518,92108518.0,92108518.0,92108518,92108518.0,111897521.44444443,301546616.3333333,107766101.06547618,17698.0,Nancy Meyers,17698.0,Nancy Meyers,2461|9994|3141,Mel Gibson|Helen Hunt|Marisa Tomei,0,0.0,0.0,Paramount Pictures,3012,0.33354609549308345,162969240,162969240,11329000,3012,1,13505000,3012,1,8781000,3012,1,3296021,3012,1,3816544,3012,1,3691402,3012,1,4145569,3012,1,6120000,3044,2,6897000,3044,2,2710000,3044,3,5743044,3044,2,6902652,3044,2,6102753,3044,2,6148406,3044,2,7625000,3046,2,8254000,3046,2,4955561,3046,2,5574322,3046,2,2703395,3046,1,1935017,3046,1,1942058,3046,1,4679000,3052,1,7222000,3052,1,3654000,3052,2,953455,3052,2,1117342,3052,2,948629,3052,2,1002601,3052,2
